|Unicorn Tracks|
|Saga, Volume 6 (Saga (Collected Editions) #6)|
|Princess Between Worlds (Wide-Awake Princess #5)|
|Masks and Shadows|
|Crown of Midnight (Throne of Glass #2)|
|Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)|
|A Court of Thorns and Roses (A Court of Thorns and Roses #1)|
|Throne of Glass (Throne of Glass #1)|
|The Glittering Court (The Glittering Court #1)|
|Hollow City (Miss Peregrine’s Peculiar Children #2)|
|The Star-Touched Queen|
|The Hidden Oracle (The Trials of Apollo #1)|
|The Bane Chronicles (The Bane Chronicles #1-11)|
|Island of Dragons (Unwanteds #7)|
|Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3)|
|City of Glass (The Mortal Instruments #3)|
|Searching for Meaning in Gailana|
|The Star-Touched Queen|
|A Shard of Ice (The Black Symphony Saga #1)|
|King's Folly (The Kinsman Chronicles #1)|
|Every Heart a Doorway (Every Heart A Doorway #1)|
|A Gathering of Shadows (Shades of Magic #2)|
|The Raven Boys (The Raven Cycle #1)|
|The False Prince (The Ascendance Trilogy #1)|
|Tell the Wind and Fire|
|A Feast for Crows (A Song of Ice and Fire #4)|
|The Demonists (Demonist #1)|
|The Beast (Black Dagger Brotherhood #14)|
|Paper and Fire (The Great Library #2)|
|Harry Potter and the Order of the Phoenix (Harry Potter #5)|
|Harry Potter and the Half-Blood Prince (Harry Potter #6)|
|Harry Potter and the Chamber of Secrets (Harry Potter #2)|
|The Rose & the Dagger (The Wrath and the Dawn #2)|
|Soldier (Talon #3)|
|Midnight Riot (Peter Grant/ Rivers of London - books #1)|
|Heir to the Sky|
|Eragon (The Inheritance Cycle #1)|
|Darkfever (Fever #1)|
Ash
|A Storm of Swords (A Song of Ice and Fire #3)|
