|Tipping the Velvet|
|Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton|
|A Flight of Arrows (The Pathfinders #2)|
|The House by the Lake|
|Mrs. Houdini|
|The Marriage of Opposites|
|Glory over Everything: Beyond The Kitchen House|
|Love, Lies and Spies|
|A Paris Apartment|
|Lilac Girls|
|The Constant Princess (The Tudor Court #1)|
|The Invention of Wings|
|World Without End (The Pillars of the Earth #2)|
|The Passion of Dolssa|
|Girl With a Pearl Earring|
|Voyager (Outlander #3)|
|The Red Tent|
|The Last Painting of Sara de Vos|
|The Guernsey Literary and Potato Peel Pie Society|
|Girl in the Blue Coat|
