|The Long Haul (Diary of a Wimpy Kid #9)|
|Old School (Diary of a Wimpy Kid #10)|
|I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction|
|Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened|
|Dress Your Family in Corduroy and Denim|
|Toddlers Are A**holes: It's Not Your Fault|
|When You Are Engulfed in Flames|
Naked
|Lamb: The Gospel According to Biff, Christ's Childhood Pal|
|Holidays on Ice|
