|I Had a Nice Time And Other Lies...: How to find love & sh*t like that|
|Will You Won't You Want Me?|
|Keep Me Posted|
|Grey (Fifty Shades #4)|
Meternity
|Some Women|
|Shopaholic Ties the Knot (Shopaholic #3)|
|Can You Keep a Secret?|
|Twenties Girl|
|The Undomestic Goddess|
|The Nanny Diaries (Nanny #1)|
|The Devil Wears Prada (The Devil Wears Prada #1)|
|Something Borrowed (Darcy & Rachel #1)|
|Something Blue (Darcy & Rachel #2)|
|I've Got Your Number|
|The Edge of Reason (Bridget Jones #2)|
|Bridget Jones's Diary (Bridget Jones #1)|
