|The Requiem Red|
|Set Me Free|
|The Natural History of Us (The Fine Art of Pretending #2)|
|Obsidian (Lux #1)|
Burning
|A Fierce and Subtle Poison|
|Scarlett Epstein Hates It Here|
|Nightingale, Sing|
|Library of Souls (Miss Peregrine’s Peculiar Children #3)|
|Frostbite (Vampire Academy #2)|
|Wild Swans|
|Until Friday Night (The Field Party #1)|
|This Is Where It Ends|
|The Darkest Lie|
|My Kind of Crazy|
|Don't Get Caught|
|Catching Jordan (Hundred Oaks)|
|Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)|
|The Epidemic (The Program 0.6)|
|Stars Above (The Lunar Chronicles #4.5)|
|No Love Allowed (Dodge Cove #1)|
|Exit, Pursued by a Bear|
|The Alien Club|
|Don't Forget Steven|
|South of Sunshine|
|My Life Next Door (My Life Next Door )|
|Future Shock (Future Shock #1)|
|Nightstruck: A Novel|
|Tell the Wolves I'm Home|
|Will Grayson, Will Grayson (Will Grayson, Will Grayson)|
|Where She Went (If I Stay #2)|
|Two Summers|
|The Darkest Corners|
|Tell Me Three Things|
|Lola and the Boy Next Door (Anna and the French Kiss #2)|
|Kill the Boy Band|
|Isla and the Happily Ever After (Anna and the French Kiss #3)|
|An Abundance of Katherines|
|Harry Potter and the Prisoner of Azkaban (Harry Potter #3)|
|Walk the Edge (Thunder Road #2)|
